2025-04-18 17:41:30 - 完成'報表初始欄位資訊儲存'及'初始資料庫資料建立'
2025-04-18 17:41:31 - 完成 Process A
2025-04-18 17:41:36 - FB1_OBU_AC4620B_Subtotal查詢結果為空，請檢查資料庫與查詢條件。
2025-04-18 17:41:38 - FB1: FB1_OBU_AC4620B_Subtotal 資料表無資料
2025-04-18 17:41:40 - FM5_OBU_FC9450B查詢結果為空，請檢查資料庫與查詢條件。
2025-04-18 17:41:41 - FM5: FM5_OBU_FC9450B 資料表無資料
2025-04-18 17:41:44 - 表2_DBU_AC5602_TWD查詢結果為空，請檢查資料庫與查詢條件。
2025-04-18 17:41:45 - Table2: 表2_DBU_AC5602_TWD資料表無資料
2025-04-18 17:41:48 - FB5A_OBU_FC7700B_LIST查詢結果為空，請檢查資料庫與查詢條件。
2025-04-18 17:41:49 - FB5A_OBU_CF6320_LIST查詢結果為空，請檢查資料庫與查詢條件。
2025-04-18 17:41:51 - FB5A: FB5A_OBU_FC7700B_LIST 資料表無資料
2025-04-18 17:41:52 - FB5A: FB5A_OBU_CF6320_LIST 資料表無資料
2025-04-18 17:41:59 - F1_Domestic_DL6850_SS查詢結果為空，請檢查資料庫與查詢條件。
2025-04-18 17:42:01 - F2_Domestic_DL6850_SS查詢結果為空，請檢查資料庫與查詢條件。
2025-04-18 17:42:01 - F1_F2: F1_Domestic_DL6850_SS資料表無資料
2025-04-18 17:42:02 - 資料有誤: F1_F2: F2_Domestic_DL6850_SS資料表無資料
2025-04-18 17:42:06 - 完成 Process B
2025-04-18 17:42:11 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_JPY
2025-04-18 17:42:12 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_GBP
2025-04-18 17:42:12 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_CHF
2025-04-18 17:42:13 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_CAD
2025-04-18 17:42:13 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_AUD
2025-04-18 17:42:13 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_NZD
2025-04-18 17:42:14 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_SGD
2025-04-18 17:42:14 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_HKD
2025-04-18 17:42:14 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_ZAR
2025-04-18 17:42:14 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_SEK
2025-04-18 17:42:15 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_THB
2025-04-18 17:42:15 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_RM
2025-04-18 17:42:15 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_EUR
2025-04-18 17:42:16 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_CNY
2025-04-18 17:42:16 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SPOT_OTHER
2025-04-18 17:42:16 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_JPY
2025-04-18 17:42:16 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_GBP
2025-04-18 17:42:17 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_CHF
2025-04-18 17:42:17 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_CAD
2025-04-18 17:42:17 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_AUD
2025-04-18 17:42:18 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_NZD
2025-04-18 17:42:18 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_SGD
2025-04-18 17:42:18 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_HKD
2025-04-18 17:42:18 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_ZAR
2025-04-18 17:42:19 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_SEK
2025-04-18 17:42:19 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_THB
2025-04-18 17:42:19 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_RM
2025-04-18 17:42:20 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_EUR
2025-04-18 17:42:20 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_CNY
2025-04-18 17:42:20 - 工作表 [f1] 中找不到欄位: F1_與國外金融機構及非金融機構間交易_SWAP_OTHER
2025-04-18 17:42:20 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_JPY
2025-04-18 17:42:21 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_GBP
2025-04-18 17:42:21 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_CHF
2025-04-18 17:42:21 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_CAD
2025-04-18 17:42:21 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_AUD
2025-04-18 17:42:22 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_NZD
2025-04-18 17:42:22 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_SGD
2025-04-18 17:42:22 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_HKD
2025-04-18 17:42:23 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_ZAR
2025-04-18 17:42:23 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_SEK
2025-04-18 17:42:23 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_THB
2025-04-18 17:42:23 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_RM
2025-04-18 17:42:24 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_EUR
2025-04-18 17:42:24 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_CNY
2025-04-18 17:42:24 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SPOT_OTHER
2025-04-18 17:42:25 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_JPY
2025-04-18 17:42:25 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_GBP
2025-04-18 17:42:25 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_CHF
2025-04-18 17:42:25 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_CAD
2025-04-18 17:42:26 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_AUD
2025-04-18 17:42:26 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_NZD
2025-04-18 17:42:26 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_SGD
2025-04-18 17:42:27 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_HKD
2025-04-18 17:42:27 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_ZAR
2025-04-18 17:42:27 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_SEK
2025-04-18 17:42:27 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_THB
2025-04-18 17:42:28 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_RM
2025-04-18 17:42:28 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_EUR
2025-04-18 17:42:28 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_CNY
2025-04-18 17:42:28 - 工作表 [f1] 中找不到欄位: F1_與國內金融機構間交易_SWAP_OTHER
2025-04-18 17:42:29 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_JPY
2025-04-18 17:42:29 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_GBP
2025-04-18 17:42:29 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_CHF
2025-04-18 17:42:29 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_CAD
2025-04-18 17:42:29 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_AUD
2025-04-18 17:42:30 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_NZD
2025-04-18 17:42:30 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_SGD
2025-04-18 17:42:30 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_HKD
2025-04-18 17:42:30 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_ZAR
2025-04-18 17:42:30 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_SEK
2025-04-18 17:42:31 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_THB
2025-04-18 17:42:31 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_RM
2025-04-18 17:42:31 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_EUR
2025-04-18 17:42:31 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_CNY
2025-04-18 17:42:31 - 工作表 [f1] 中找不到欄位: F1_與國內顧客間交易_SPOT_OTHER
2025-04-18 17:42:31 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_JPY
2025-04-18 17:42:32 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_GBP
2025-04-18 17:42:32 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_CHF
2025-04-18 17:42:32 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_CAD
2025-04-18 17:42:32 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_AUD
2025-04-18 17:42:32 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_SGD
2025-04-18 17:42:33 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_HKD
2025-04-18 17:42:33 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_CNY
2025-04-18 17:42:33 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_EUR_OTHER
2025-04-18 17:42:33 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_GBP_JPY
2025-04-18 17:42:33 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_GBP_CHF
2025-04-18 17:42:33 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_GBP_CAD
2025-04-18 17:42:34 - 工作表 [f2] 中找不到欄位: F2_與國外金融機構及非金融機構間交易_SPOT_GBP_AUD
