報表名稱,原始檔案路徑,目標檔案路徑
CNY1,外幣月報\{ROCYM}\DBU_AC5601_31_AC_E_{InputDate}.txt,RelationData\RawData\DBU_AC5601_31_AC_E_{InputDate}.txt
CNY1,外幣月報\{ROCYM}\DBU_AC5601_31_AC_E_{InputDate}.xls,RelationData\RawData\DBU_AC5601_31_AC_E_{InputDate}.xls
CNY1,外幣月報\{ROCYM}\DBU_AC5601_31_AC_E_{InputDate}.pdf,外幣報表產製_final\CNY\DBU_AC5601_31_AC_E_{InputDate}.pdf;外幣報表產製_final\SAVE_PDF\{ROCYM}\CNY1\DBU_AC5601_31_AC_E_{InputDate}.pdf
表2,外幣月報\{ROCYM}\DBU_AC5602_31_AC_E_{InputDate}.xls,RelationData\RawData\DBU_AC5602_31_AC_E_{InputDate}.xls
表2,外幣月報\{ROCYM}\DBU_AC5602_31_AC_E_{InputDate}.pdf,外幣報表產製_final\表2表41\表2\DBU_AC5602_31_AC_E_{InputDate}.pdf;外幣報表產製_final\SAVE_PDF\{ROCYM}\表2\DBU_AC5602_31_AC_E_{InputDate}.pdf
F1_F2,外幣月報\{ROCYM}\DBU_CM2810_31_AC_E_{InputDate}.xls,RelationData\RawData\DBU_CM2810_31_AC_E_{InputDate}.xls;外幣報表產製_final\F1F2\DBU_CM2810_31_AC_E_{InputDate}.xls
F1_F2,外幣月報\{ROCYM}\DBU_DL6850_31_AC_E_{InputDate}.xls,RelationData\RawData\DBU_DL6850_31_AC_E_{InputDate}.xls;外幣報表產製_final\F1F2\DBU_DL6850_31_AC_E_{InputDate}.xls
F1_F2,外幣月報\{ROCYM}\DBU_DL6850_31_AC_E_{InputDate}.pdf,外幣報表產製_final\F1F2\DBU_DL6850_31_AC_E_{InputDate}.pdf;外幣報表產製_final\SAVE_PDF\{ROCYM}\F1_F2\DBU_DL6850_31_AC_E_{InputDate}.pdf
AI240,外幣月報\{ROCYM}\DBU_DL6850_31_AC_E_{InputDate}.xls,RelationData\RawData\DBU_DL6850_31_AC_E_{InputDate}.xls;外幣報表產製_final\AI\AI240\DBU_DL6850_31_AC_E_{InputDate}.xls
AI240,外幣月報\{ROCYM}\DBU_DL6850_31_AC_E_{InputDate}.pdf,外幣報表產製_final\AI\AI240\DBU_DL6850_31_AC_E_{InputDate}.pdf;外幣報表產製_final\SAVE_PDF\{ROCYM}\AI240\DBU_DL6850_31_AC_E_{InputDate}.pdf
表41,外幣月報\{ROCYM}\DBU_DL9360_31_AC_E_{InputDate}.xls,RelationData\RawData\DBU_DL9360_31_AC_E_{InputDate}.xls
表41,外幣月報\{ROCYM}\DBU_DL9360_31_AC_E_{InputDate}.pdf,外幣報表產製_final\表2表41\表41\DBU_DL9360_31_AC_E_{InputDate}.pdf;外幣報表產製_final\SAVE_PDF\{ROCYM}\表41\DBU_DL9360_31_AC_E_{InputDate}.pdf
FM10,外幣月報\{ROCYM}\OBU_AC4603_33_AC_E_{InputDate}.xls,RelationData\RawData\OBU_AC4603_33_AC_E_{InputDate}.xls;外幣報表產製_final\FM\FM10\OBU_AC4603_33_AC_E_{InputDate}.xls
FM10,外幣月報\{ROCYM}\OBU_AC4603_33_AC_E_{InputDate}.pdf,外幣報表產製_final\FM\FM10\OBU_AC4603_33_AC_E_{InputDate}.pdf;外幣報表產製_final\SAVE_PDF\{ROCYM}\FM10\OBU_AC4603_33_AC_E_{InputDate}.pdf
FB2,外幣月報\{ROCYM}\OBU_AC4620B_33_AC_E_{InputDate}.txt,RelationData\RawData\OBU_AC4620B_33_AC_E_{InputDate}.txt
FB2,外幣月報\{ROCYM}\OBU_AC4620B_33_AC_E_{InputDate}.xls,RelationData\RawData\OBU_AC4620B_33_AC_E_{InputDate}.xls
FB2,外幣月報\{ROCYM}\OBU_AC4620B_33_AC_E_{InputDate}.pdf,外幣報表產製_final\FB\OBU_AC4620B_33_AC_E_{InputDate}.pdf;外幣報表產製_final\SAVE_PDF\{ROCYM}\FM2\OBU_AC4620B_33_AC_E_{InputDate}.pdf
FM11,外幣月報\{ROCYM}\OBU_AC5411B_33_AC_E_{InputDate}.xls,RelationData\RawData\OBU_AC5411B_33_AC_E_{InputDate}.xls;外幣報表產製_final\FM\FM11\OBU_AC5411B_33_AC_E_{InputDate}.xls
FM11,外幣月報\{ROCYM}\OBU_AC5411B_33_AC_E_{InputDate}.pdf,外幣報表產製_final\FM\FM11\OBU_AC5411B_33_AC_E_{InputDate}.pdf;外幣報表產製_final\SAVE_PDF\11407\FM11\OBU_AC5411B_33_AC_E_{InputDate}.pdf
FB5,外幣月報\{ROCYM}\OBU_CF6320_33_AC_E_{InputDate}.xls,RelationData\RawData\OBU_CF6320_33_AC_E_{InputDate}.xls
FB5,外幣月報\{ROCYM}\OBU_CF6320_33_AC_E_{InputDate}.pdf,外幣報表產製_final\FB\OBU_CF6320_33_AC_E_{InputDate}.pdf;外幣報表產製_final\SAVE_PDF\{ROCYM}\FB5\OBU_CF6320_33_AC_E_{InputDate}.pdf
